=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,FacingAngle_deg,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
828518,Rooms,Outdoor Covered Dining 103,,,-70.1146,0.3646,-3.4167,-90.4792,-7.9167,-49.7500,8.6458
828521,Rooms,Pocket Park 104,,,-80.6250,-5.4573,-3.4167,-111.5000,-29.1750,-49.7500,18.2604
881705,Walls,"Core - Concrete 18""",,180.0000,-49.5000,30.9792,-10.4375,-50.2500,18.2083,-48.7500,43.7500
881716,Walls,"Core - Concrete 12""",,180.0000,-49.2500,39.7240,-2.6875,-49.7500,35.6979,-48.7500,43.7500
881957,Railings,Pipe-Wall Mount,,,-48.7396,34.7604,0.4604,-49.4756,30.7604,-48.0035,38.7604
882800,Walls,"Core - Concrete 12""",,-90.0000,-44.6276,19.2083,-2.6875,-49.8802,18.7083,-39.3750,19.7083
882848,Railings,Pipe-Wall Mount,,,-48.7396,30.0625,-8.1875,-49.4756,23.3125,-48.0035,36.8125
900303,Walls,"Core - Concrete 18""",,-90.0000,-44.6875,18.9583,-10.4375,-49.5000,18.2083,-39.8750,19.7083
1047579,Walls,"Foundation - 24"" Concrete",,90.0000,-44.6875,42.7500,-10.4375,-49.5000,41.7500,-39.8750,43.7500
1135949,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-87.3073,19.0885,-4.2292,-90.4792,18.8854,-84.1354,19.2917
1135950,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-84.3385,20.5651,-4.2292,-84.5417,19.0885,-84.1354,22.0417
1135969,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-78.7812,35.6198,-3.9167,-86.7812,35.4167,-70.7812,35.8229
1240635,Stairs,Stair,,,-54.1354,30.2083,-0.2083,-57.6667,20.7500,-50.6042,39.6667
1240636,Railings,Pipe-Wall Mount,,,-54.3924,29.1875,2.4375,-58.9167,18.5833,-49.8681,39.7917
1240640,Railings,Glass Panel - Bottom Fill (Extension Bottom),,,-71.9688,27.3281,1.6826,-89.5833,18.7396,-54.3542,35.9167
1244066,Walls,"Core - Concrete 12""",,0.0000,-100.1250,42.4740,-3.9167,-100.6250,41.6979,-99.6250,43.2500
1245348,Walls,"Core - Concrete 12""",,180.0000,-49.2500,27.3542,-2.6875,-49.7500,18.4844,-48.7500,36.2240
1247377,Walls,"Interior - 4 7/8"" Partition (NR)",,180.0000,-57.7656,28.2057,-3.9167,-57.9688,20.1875,-57.5625,36.2240
1247474,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-61.5833,20.3906,-3.9167,-65.5521,20.1875,-57.6146,20.5938
